ID_author,AU_ID_scopus,full_name,affiliation
177,25929720500,Verbo E.,Universidad de Castilla-La Mancha
178,6603578832,Calero C.,Universidad de Castilla-La Mancha
179,35249496700,Torre D.,Universidad de Castilla-La Mancha
180,35247632400,Blasco B.,Universidad de Castilla-La Mancha
181,17436091300,Valencia-Jimenez J.J.,Universidad de Castilla-La Mancha
182,57213021063,Blanco C.,Universidad de Castilla-La Mancha
183,7103051196,Trujillo J.,Universidad de Castilla-La Mancha
184,57199290758,Perez J.M.,Universidad de Castilla-La Mancha
185,57215539024,Garcia F.,Universidad de Castilla-La Mancha
186,56044417600,Perez-Jimenez R.,Universidad de Castilla-La Mancha
187,15048635400,Rosado D.G.,Universidad de Castilla-La Mancha
188,57190264605,Gutierrez C.,Universidad de Castilla-La Mancha
189,57197878932,Lopez-Lopez J.,Universidad de Castilla-La Mancha
190,6506350419,Villarrubia C.,Universidad de Castilla-La Mancha
191,12764593200,Villarroel R.,Universidad de Castilla-La Mancha
192,18037266800,Garzas J.,Universidad de Castilla-La Mancha
193,8710825700,Lopez-Jaquero V.,Universidad de Castilla-La Mancha
194,22333714200,Femandez-Medina E.,Universidad de Castilla-La Mancha
195,6603235035,Blazquez I.,Universidad de Castilla-La Mancha
196,12807219800,Diaz-Plaza E.M.,Universidad de Castilla-La Mancha
197,55779837600,Llanos Rodriguez M.,Universidad de Castilla-La Mancha
198,57196894039,Sahraoui H.A.,Universidad de Castilla-La Mancha
199,55619760300,Ruiz J.,Universidad de Castilla-La Mancha
200,6701593883,Favela J.,Universidad de Castilla-La Mancha
201,6507957743,Bernardez B.,Universidad de Castilla-La Mancha
202,22733498800,Cruz J.A.,Universidad de Castilla-La Mancha
203,57212735329,Fernandez-Medina E.,Universidad de Castilla-La Mancha
204,6701866193,Olivas J.,Universidad de Castilla-La Mancha
205,7005819317,Miranda D.,Universidad de Castilla-La Mancha
206,57208921889,Jimenez L.,Universidad de Castilla-La Mancha
207,7006009695,De Lucas A.,Universidad de Castilla-La Mancha
208,7201503924,Sanchez P.,Universidad de Castilla-La Mancha
209,6603733670,Dorado F.,Universidad de Castilla-La Mancha
210,7202648750,Romero A.,Universidad de Castilla-La Mancha
211,6603271413,Asencio I.,Universidad de Castilla-La Mancha
212,7402214317,Romero R.,Universidad de Castilla-La Mancha
213,57190123598,Jimenez M.,Universidad de Castilla-La Mancha
214,57225824435,Martinez A.,Universidad de Castilla-La Mancha
215,15836452700,De La Osa A.R.,Universidad de Castilla-La Mancha
216,7004099512,Garcia-Gomez J.,Universidad de Castilla-La Mancha
217,7202496834,Ferrer J.,Universidad de Castilla-La Mancha
218,7004434119,Seco A.,Universidad de Castilla-La Mancha
219,6602374469,Penya-Roja J.M.,Universidad de Castilla-La Mancha
220,57208794497,Rodriguez L.,Universidad de Castilla-La Mancha
221,57191487800,Gomez J.,Universidad de Castilla-La Mancha
222,7402510273,Perez A.,Universidad de Castilla-La Mancha
223,6602076270,Piatkowski P.,Universidad de Castilla-La Mancha
224,7402976839,Cohen B.,Universidad de Castilla-La Mancha
225,7003710499,Douhal A.,Universidad de Castilla-La Mancha
226,6701834060,Lapuerta M.,Universidad de Castilla-La Mancha
227,56405303700,Risco C.,Universidad de Castilla-La Mancha
228,57031609200,Rodrigo S.,Universidad de Castilla-La Mancha
229,25229019700,López-Vizcaíno R.,Universidad de Castilla-La Mancha
230,55910274900,Yustres A.,Universidad de Castilla-La Mancha
231,9332869500,Sáez C.,Universidad de Castilla-La Mancha
232,7102517972,Navarro V.,Universidad de Castilla-La Mancha
233,22981260100,Rodríguez-Fernández J.,Universidad de Castilla-La Mancha
234,24402545500,García-Contreras R.,Universidad de Castilla-La Mancha
235,55589112300,Calcerrada A.B.,Universidad de Castilla-La Mancha
236,22134442400,de Lucas-Consuegra A.,Universidad de Castilla-La Mancha
237,42261192200,Cotillas S.,Universidad de Castilla-La Mancha
238,56540892700,Ramírez E.,Universidad de Castilla-La Mancha
239,54385105000,González-Cobos J.,Universidad de Castilla-La Mancha
240,57192377461,López-Pedrajas D.,Universidad de Castilla-La Mancha
241,55091034500,Ruiz-López E.,Universidad de Castilla-La Mancha
242,56272607100,Gutiérrez-Guerra N.,Universidad de Castilla-La Mancha
243,57200158473,Jiménez C.,Universidad de Castilla-La Mancha
