ID_author_1,ID_author_2,scopus_id_collaborations
6,20,"84952321155,84879468543,70349321293,33845272557,33745928730,84950295488,85010187565,85053669700,85102270958,85130382383,84878968010,84879674020,84863692417,78149370574,64849090027,57549114311,84939492152,84987677795,85061311958,85061777665,85077960198,85077958675,84944054715,85084161178,84865786567,84871562479,80052439706,78149315388,77951430564,74549207586,74049087860,73449099966,84946553987,84883091714,84871540366,58049177892,84871601834,67650236902,67249133150,77954094332,77953897530,34250685380,84871593966,78649235208,84961371019,84945188814,84899270488"
21,22,"84946411523,84937406356,84976467361,84921640135,84885819956,84930802668,84962909417,84985997808,84937485030"
21,23,"84946411523,84937406356,84976467361,85021623746,84921640135,84930802668,84962909417,84985997808,84966335484,84962775659,85055850485,84909966451,85041554090,84920868634"
21,24,"84946411523,84937406356,85009774249,84976467361,85021623746,84921640135,84930802668,84962909417,84985997808,84937485030,84966335484,84962775659,85055850485,84909966451,84920868634"
10,21,"84946411523,84937406356,85009774249,84976467361,85021623746,84921640135,84885819956,84930802668,84962909417,84985997808,84869015029"
22,23,"84946411523,84937406356,84976467361,84921640135,33646122693,0142152982,84930802668,84962909417,84985997808,24344478240,84875950588,84904540420,0142184040,85054799518,85068820750,84904094596"
22,24,"84946411523,84937406356,84976467361,84921640135,33646122693,35248836502,0142152982,84930802668,84962909417,84985997808,24344478240,35248821015,84952361129,84950115417,84937485030,84921629960,84883284949,84880460690,80455129385,79551659610,59049095928,33745850462,84904540420,35248879203,0142184040,84991713055,84962859190,84941333679,85013498173,85054799518,84900002321,84864754473,60249095182,84990878602,85068820750,84960122369,84904623631,84907072612,84869006027,82955242465,84891954295,84864746133,80455149916,85089336886,85088983620,85088946678,84904094596,84878936263,78649271331,30744461132,84898579472,79960482341"
10,22,"84946411523,84937406356,84976467361,84921640135,84885819956,33646122693,35248836502,0142152982,84930802668,84962909417,85046656250,85059553607,84985997808,24344478240,84910101684,35248821015"
23,24,"84946411523,84937406356,84976467361,85021623746,85068623221,84921640135,84885703223,33646122693,0142152982,84930802668,84962909417,84985997808,24344478240,80052803870,80052785212,38349047998,38349016605,84904540420,0142184040,84966335484,84962775659,85054799518,85055850485,85086523697,85102561210,84909966451,84883047791,84893678106,84878481135,84891661300,63649094661,85068820750,84920868634,84869072428,83355167100,85089346103,78751551822,85088948163,76749164414,84904094596,84890172600,84878945195,70349111342,85123824760,34547433684,34047129070,84892284615"
10,23,"84946411523,84937406356,84976467361,85021623746,85068623221,85132005309,84921640135,84885703223,33646122693,0142152982,84930802668,84962909417,85132987163,84985997808,24344478240"
